                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0611,                 3.5947,                 1.5587,                0.00413,                0.97794,                 0.3386,                0.25772,                0.66446,                 3.6453,                 1.2207,               0.000125,               0.000125,               0.000125
                      2,                0.92224,                 2.6961,                 1.3954,                0.00424,                      1,                0.64658,                0.48671,                0.60147,                  3.309,                 1.1605,             0.00025925,             0.00025925,             0.00025925
                      3,                 0.9405,                 2.0952,                 1.3705,                0.92463,                0.30609,                 0.9125,                0.61663,                0.93611,                 2.9759,                 1.4656,              0.0003901,              0.0003901,              0.0003901
                      4,                0.95697,                 1.8365,                 1.3721,                0.90404,                0.28333,                0.70465,                0.34342,                 1.7043,                 3.4711,                 2.5156,             0.00051755,             0.00051755,             0.00051755
                      5,                 0.9412,                 1.7505,                 1.3449,                0.80457,                0.51976,                0.67476,                0.35695,                  1.693,                 3.1651,                 2.7862,             0.00064159,             0.00064159,             0.00064159
                      6,                0.93885,                 1.6964,                 1.3634,                0.87961,                0.37107,                0.50401,                0.18939,                  2.725,                 3.6783,                 4.9389,             0.00076223,             0.00076223,             0.00076223
                      7,                0.94436,                 1.5614,                 1.3428,                0.74269,                0.75117,                0.90812,                0.58227,                  1.183,                 2.3687,                 1.9472,             0.00087946,             0.00087946,             0.00087946
                      8,                0.94601,                 1.5082,                 1.3326,                0.34183,                0.56127,                0.47846,                0.29091,                 1.2551,                 2.6742,                  1.852,              0.0009933,              0.0009933,              0.0009933
                      9,                 0.9218,                 1.4069,                 1.3188,                0.77109,                0.64909,                0.75445,                0.51686,                 1.0346,                 1.7807,                 1.5751,              0.0011037,              0.0011037,              0.0011037
                     10,                0.90202,                 1.3778,                 1.3142,                0.48593,                0.33028,                0.28101,                  0.145,                 1.6527,                 3.1705,                 2.4507,              0.0011108,              0.0011108,              0.0011108
                     11,                0.89989,                 1.2876,                 1.3261,                0.71567,                0.72984,                 0.7382,                0.47832,                 1.1237,                  1.648,                 1.7956,              0.0010953,              0.0010953,              0.0010953
                     12,                0.94286,                 1.2534,                 1.3401,                0.71189,                  0.579,                0.67024,                0.50182,                0.89905,                 1.4591,                 1.6085,              0.0010798,              0.0010798,              0.0010798
                     13,                0.85396,                 1.1663,                 1.2865,                0.62743,                0.55303,                0.59848,                0.39967,                 1.0582,                 2.1647,                 1.7526,              0.0010644,              0.0010644,              0.0010644
                     14,                0.86169,                 1.1038,                 1.3094,                0.75849,                0.73242,                0.79682,                0.56241,                 1.0087,                 1.3389,                 1.6032,              0.0010489,              0.0010489,              0.0010489
                     15,                0.85722,                 1.0499,                 1.2934,                0.75362,                0.73121,                0.83999,                0.59053,                 1.1771,                 1.5078,                 1.8612,              0.0010334,              0.0010334,              0.0010334
                     16,                0.88603,                 1.0432,                 1.3147,                0.46265,                 0.5012,                0.53194,                0.30785,                 1.6036,                 2.9014,                 2.3528,               0.001018,               0.001018,               0.001018
                     17,                0.80277,                0.97901,                 1.2448,                0.81379,                0.76679,                0.90207,                 0.6503,                0.89371,                 1.0935,                 1.4022,              0.0010025,              0.0010025,              0.0010025
                     18,                0.79315,                0.92456,                 1.2437,                0.67706,                0.67973,                0.72413,                0.41693,                 1.3394,                 1.1278,                 2.2016,             0.00098703,             0.00098703,             0.00098703
                     19,                 0.8119,                0.96156,                  1.243,                0.79444,                0.93486,                0.94058,                0.76407,                0.73313,                0.84916,                 1.2801,             0.00097156,             0.00097156,             0.00097156
                     20,                 0.8008,                0.92974,                 1.2398,                0.81208,                0.78231,                0.87058,                0.66008,                 0.8828,                 1.0888,                 1.3993,             0.00095609,             0.00095609,             0.00095609
                     21,                0.76172,                0.87705,                 1.2207,                 0.7866,                0.89741,                0.87419,                0.68763,                0.66536,                0.89804,                 1.2254,             0.00094062,             0.00094062,             0.00094062
                     22,                0.74514,                0.88111,                  1.207,                0.73038,                 0.7145,                0.84219,                0.68731,                0.70429,                 1.2465,                  1.219,             0.00092516,             0.00092516,             0.00092516
                     23,                 0.7418,                0.84951,                 1.2054,                0.95975,                0.97206,                0.98667,                0.73688,                0.96105,                0.59077,                 1.5149,             0.00090969,             0.00090969,             0.00090969
                     24,                0.75456,                0.81937,                 1.1911,                0.95398,                0.85169,                0.96255,                0.84154,                0.63749,                0.67559,                 1.2147,             0.00089422,             0.00089422,             0.00089422
                     25,                0.70358,                0.79823,                 1.1745,                0.96506,                0.97835,                0.99332,                0.85519,                0.55212,                0.45467,                 1.1374,             0.00087875,             0.00087875,             0.00087875
                     26,                 0.7287,                0.79001,                   1.19,                0.77522,                0.82925,                0.92634,                0.81085,                  0.565,                0.95935,                 1.1388,             0.00086328,             0.00086328,             0.00086328
                     27,                0.73332,                0.82163,                 1.1892,                0.88114,                0.83871,                0.89797,                0.70362,                0.76156,                0.84111,                 1.3029,             0.00084781,             0.00084781,             0.00084781
                     28,                 0.6909,                0.78053,                 1.1572,                0.94954,                 0.9727,                0.98684,                0.82311,                0.62288,                0.50425,                 1.1712,             0.00083234,             0.00083234,             0.00083234
                     29,                0.68683,                0.79721,                 1.1661,                0.94324,                0.95799,                0.97935,                0.87864,                0.52303,                0.44818,                 1.0966,             0.00081688,             0.00081688,             0.00081688
                     30,                0.70209,                0.78118,                 1.1876,                0.89261,                0.94638,                  0.959,                0.86633,                  0.518,                0.53812,                 1.1025,             0.00080141,             0.00080141,             0.00080141
                     31,                0.69467,                0.78678,                 1.1658,                0.95002,                0.97603,                0.96503,                0.81854,                0.57056,                0.48671,                 1.1125,             0.00078594,             0.00078594,             0.00078594
                     32,                 0.6454,                0.75997,                  1.135,                0.94822,                0.96131,                0.97961,                0.85096,                0.52616,                0.49371,                 1.0924,             0.00077047,             0.00077047,             0.00077047
